term,score
thou,1627.5285951892542
spake,1030.2059242432845
thee,875.6047623513864
thy,688.6779029730005
hector,680.2451123243516
ye,441.3160439459636
hath,406.1794162432595
verily,347.1498817027166
twain,328.87883529731045
aias,241.7399985946043
patroclus,237.52360327027978
athene,229.0908126216308
armour,217.84709175676548
menelaus,202.38697556757566
leapt,157.41209210811442
cronos,150.3847665675736
ilios,150.3847665675736
hast,146.16837124324908
thine,129.30278994595113
drave,119.46453418919397
shalt,109.62627843243682
hearken,102.598952891896
sooth,94.16616224324702
hut,89.94976691892252
honour,88.54430181081436
antilochus,87.13883670270619
valour,85.73337159459803
wilt,84.32790648648987
souled,80.11151116216537
doth,74.48965072973272
didst,71.67872051351638
mayest,67.46232518919189
methinks,66.05686008108373
queenly,64.65139497297557
thyself,63.2459298648674
halls,61.84046475675923
withal,59.029534540542905
beareth,59.029534540542905
hephaestus,57.62406943243474
thereat,57.62406943243474
whenso,54.81313921621841
woes,53.40767410811025
cometh,53.40767410811025
menoetius,53.40767410811025
honoured,53.40767410811025
shining,52.00220900000208
speedily,50.596743891893915
sate,50.596743891893915
aiantes,47.78581367567759
hooved,47.78581367567759
bethink,47.78581367567759
surety,47.78581367567759
nowise,47.78581367567759
pre,44.97488345946126
ah,44.97488345946126
kine,44.97488345946126
dost,44.97488345946126
taming,43.56941835135309
whoso,43.56941835135309
anywise,43.56941835135309
foemen,43.56941835135309
biddeth,43.56941835135309
coated,42.16395324324493
wiles,40.758488135136766
wast,40.758488135136766
counsellor,37.94755791892044
ware,37.94755791892044
uttered,37.94755791892044
captain,37.94755791892044
backward,37.94755791892044
builded,37.94755791892044
dight,36.54209281081227
gerenia,35.13662770270411
aroused,35.13662770270411
therefrom,35.13662770270411
aught,35.13662770270411
beseemeth,33.73116259459594
gentle,33.73116259459594
aeacus,33.73116259459594
defence,33.73116259459594
brake,32.32569748648778
benched,30.920232378379616
xanthus,30.920232378379616
faring,30.920232378379616
maketh,30.920232378379616
hasted,30.920232378379616
telamonian,29.514767270271452
asius,29.514767270271452
oïleus,29.514767270271452
lieth,29.514767270271452
shadowing,29.514767270271452
lycaon,29.514767270271452
glaucus,29.514767270271452
harnessed,28.10930216216329
eurypylus,28.10930216216329
goeth,28.10930216216329
gear,28.10930216216329
seemeth,26.703837054055125
driveth,26.703837054055125
soever,26.703837054055125
hall,26.703837054055125
deïphobus,26.703837054055125
wholly,25.298371945946958
recompense,25.298371945946958
hadst,25.298371945946958
tunic,25.298371945946958
knowest,23.892906837838794
indignation,23.892906837838794
gat,23.892906837838794
wouldst,23.892906837838794
depart,23.892906837838794
grey,23.892906837838794
wouldest,23.892906837838794
dalliance,23.892906837838794
appointed,23.892906837838794
vouchsafed,23.892906837838794
counting,22.48744172973063
whereof,22.48744172973063
captains,22.48744172973063
holdeth,22.48744172973063
chid,21.081976621622466
panthous,21.081976621622466
brethren,21.081976621622466
succour,21.081976621622466
leapeth,21.081976621622466
therewithal,21.081976621622466
dardanus,21.081976621622466
base,21.081976621622466
distressed,19.676511513514303
heracles,19.676511513514303
peopled,19.676511513514303
oceanus,19.676511513514303
wert,19.676511513514303
idaeus,19.676511513514303
tressed,19.676511513514303
scamander,19.676511513514303
standeth,18.271046405406135
cebriones,18.271046405406135
avow,18.271046405406135
rulers,18.271046405406135
argeiphontes,18.271046405406135
thereby,18.271046405406135
labour,18.271046405406135
abideth,18.271046405406135
epeians,16.86558129729797
asteropaeus,16.86558129729797
footmen,16.86558129729797
waggon,16.86558129729797
eagerly,16.86558129729797
knoweth,16.86558129729797
libation,16.86558129729797
wherefrom,16.86558129729797
mightest,16.86558129729797
shuddered,16.86558129729797
sayest,16.86558129729797
robed,16.86558129729797
shameful,15.460116189189808
hurleth,15.460116189189808
sleek,15.460116189189808
clamour,15.460116189189808
strikes,15.460116189189808
giveth,15.460116189189808
sthenelus,15.460116189189808
acamas,15.460116189189808
faith,15.460116189189808
throngs,15.460116189189808
biddest,15.460116189189808
exulted,15.460116189189808
seafaring,15.460116189189808
marshalled,15.460116189189808
helenus,15.460116189189808
arouse,15.460116189189808
worketh,15.460116189189808
yon,15.460116189189808
spearmen,15.460116189189808
glancing,14.054651081081644
sacker,14.054651081081644
girdled,14.054651081081644
thereover,14.054651081081644
blindness,14.054651081081644
clanged,14.054651081081644
appear,14.054651081081644
thoughts,14.054651081081644
contend,14.054651081081644
dolorous,14.054651081081644
measureless,14.054651081081644
oncoming,14.054651081081644
wayed,14.054651081081644
sort,14.054651081081644
smiteth,14.054651081081644
rageth,14.054651081081644
tlepolemus,14.054651081081644
behoveth,14.054651081081644
hushed,14.054651081081644
violent,14.054651081081644
helms,14.054651081081644
er,14.054651081081644
shouldest,14.054651081081644
tearful,14.054651081081644
afoot,14.054651081081644
bringeth,14.054651081081644
ceaseless,14.054651081081644
groanings,14.054651081081644
scion,14.054651081081644
shewed,14.054651081081644
holden,14.054651081081644
hippolochus,14.054651081081644
sceptre,14.054651081081644
subdued,12.649185972973479
talthybius,12.649185972973479
dwellings,12.649185972973479
warder,12.649185972973479
fellows,12.649185972973479
amain,12.649185972973479
behest,12.649185972973479
enfolder,12.649185972973479
aright,12.649185972973479
bathed,12.649185972973479
speakest,12.649185972973479
forgat,12.649185972973479
simples,12.649185972973479
chair,12.649185972973479
adrastus,12.649185972973479
roofed,12.649185972973479
weariness,12.649185972973479
cloven,12.649185972973479
reviling,12.649185972973479
eumelus,11.243720864865315
discern,11.243720864865315
actor,11.243720864865315
everywhither,11.243720864865315
counselling,11.243720864865315
sin,11.243720864865315
wetted,11.243720864865315
calchas,11.243720864865315
enduring,11.243720864865315
unquenchable,11.243720864865315
oft,11.243720864865315
savour,11.243720864865315
aftertime,11.243720864865315
hecabe,11.243720864865315
enyalius,11.243720864865315
ariseth,11.243720864865315
arisen,11.243720864865315
cherished,11.243720864865315
touching,11.243720864865315
herein,11.243720864865315
slayeth,11.243720864865315
breaketh,11.243720864865315
outstretched,11.243720864865315
count,11.243720864865315
blazed,11.243720864865315
knight,11.243720864865315
fordone,11.243720864865315
pleasing,11.243720864865315
digged,11.243720864865315
pedasus,11.243720864865315
casting,11.243720864865315
hoped,11.243720864865315
darteth,11.243720864865315
melanippus,9.838255756757151
appeareth,9.838255756757151
hoary,9.838255756757151
vauntingly,9.838255756757151
hippothous,9.838255756757151
thundereth,9.838255756757151
capaneus,9.838255756757151
steadily,9.838255756757151
ascalaphus,9.838255756757151
loveth,9.838255756757151
meseems,9.838255756757151
uttermost,9.838255756757151
unmarked,9.838255756757151
befouled,9.838255756757151
keepeth,9.838255756757151
revilings,9.838255756757151
slender,9.838255756757151
laboured,9.838255756757151
hyrtacus,9.838255756757151
runneth,9.838255756757151
floweth,9.838255756757151
kinsfolk,9.838255756757151
wheeleth,9.838255756757151
favour,9.838255756757151
forgetful,9.838255756757151
couched,9.838255756757151
endured,9.838255756757151
polypoetes,9.838255756757151
amphimachus,9.838255756757151
amazement,9.838255756757151
affright,9.838255756757151
peisander,9.838255756757151
shouldst,9.838255756757151
seizeth,9.838255756757151
shadowy,8.432790648648986
laden,8.432790648648986
rumour,8.432790648648986
nethermost,8.432790648648986
chromius,8.432790648648986
fir,8.432790648648986
willeth,8.432790648648986
cyanus,8.432790648648986
therethrough,8.432790648648986
busily,8.432790648648986
pergamus,8.432790648648986
added,8.432790648648986
pandarus,8.432790648648986
declareth,8.432790648648986
taut,8.432790648648986
fleeth,8.432790648648986
murky,8.432790648648986
tasselled,8.432790648648986
peirithous,8.432790648648986
percote,8.432790648648986
advance,8.432790648648986
layeth,8.432790648648986
wheresoever,8.432790648648986
kin,8.432790648648986
deucalion,8.432790648648986
whichsoever,8.432790648648986
worthy,8.432790648648986
asclepius,8.432790648648986
arise,8.432790648648986
possess,8.432790648648986
anon,8.432790648648986
step,8.432790648648986
toils,8.432790648648986
eëtion,8.432790648648986
thrusting,8.432790648648986
antiphus,8.432790648648986
therefor,8.432790648648986
axius,8.432790648648986
mecisteus,8.432790648648986
steading,8.432790648648986
unceasingly,8.432790648648986
resounding,8.432790648648986
confront,8.432790648648986
confusedly,8.432790648648986
alcimedon,8.432790648648986
wailed,8.432790648648986
protesilaus,8.432790648648986
witlessness,7.027325540540822
woodland,7.027325540540822
broidered,7.027325540540822
device,7.027325540540822
hearest,7.027325540540822
polydorus,7.027325540540822
heartened,7.027325540540822
missile,7.027325540540822
escapeth,7.027325540540822
deïpyrus,7.027325540540822
lines,7.027325540540822
entrusted,7.027325540540822
epeius,7.027325540540822
praised,7.027325540540822
taketh,7.027325540540822
burneth,7.027325540540822
fighteth,7.027325540540822
cadmeians,7.027325540540822
