term,score
hektor,674.6232518919189
armor,304.98592845947167
ajax,244.5509288108206
patroklos,243.14546370271245
menelaos,208.00883600000833
killed,191.14325470271035
ilion,134.92465037838377
kronos,119.46453418919397
honor,109.62627843243682
kill,84.32790648648987
antilokhos,82.9224413783817
noos,64.65139497297557
akhos,60.43499964865107
nevertheless,57.62406943243474
hephaistos,53.40767410811025
ponos,52.00220900000208
therapôn,52.00220900000208
pontos,47.78581367567759
dêmos,46.38034856756943
menoitios,46.38034856756943
ajaxes,44.97488345946126
psukhê,39.353023027028605
kleos,39.353023027028605
sêma,37.94755791892044
inside,37.94755791892044
killing,36.54209281081227
timê,36.54209281081227
daimôn,35.13662770270411
alas,33.73116259459594
xanthos,32.32569748648778
deiphobos,32.32569748648778
valor,30.920232378379616
glaukos,30.920232378379616
district,30.920232378379616
trying,29.514767270271452
lykaon,29.514767270271452
agôn,29.514767270271452
okeanos,29.514767270271452
cuirass,28.10930216216329
aiakos,28.10930216216329
crowd,28.10930216216329
penthos,25.298371945946958
idaios,25.298371945946958
room,25.298371945946958
eurypylos,25.298371945946958
asios,25.298371945946958
atê,25.298371945946958
therapontes,25.298371945946958
athlon,23.892906837838794
scepter,23.892906837838794
telos,23.892906837838794
talking,23.892906837838794
shirt,23.892906837838794
earthquake,23.892906837838794
humankind,23.892906837838794
aretê,22.48744172973063
tower,22.48744172973063
gerene,22.48744172973063
mênis,22.48744172973063
wagon,22.48744172973063
gray,22.48744172973063
herakles,21.081976621622466
aidôs,21.081976621622466
honored,21.081976621622466
goodwill,21.081976621622466
commanded,21.081976621622466
dardanos,21.081976621622466
panthoos,19.676511513514303
descendant,19.676511513514303
kebriones,18.271046405406135
guardian,18.271046405406135
favor,18.271046405406135
used,18.271046405406135
spite,18.271046405406135
sad,18.271046405406135
skamandros,18.271046405406135
stuck,16.86558129729797
tramp,16.86558129729797
krinô,16.86558129729797
helenos,16.86558129729797
redoubtable,16.86558129729797
asteropaios,16.86558129729797
arts,16.86558129729797
directions,16.86558129729797
kharis,16.86558129729797
bad,16.86558129729797
weapon,16.86558129729797
followers,16.86558129729797
summits,15.460116189189808
finest,15.460116189189808
kosmos,15.460116189189808
labor,15.460116189189808
chased,15.460116189189808
approval,15.460116189189808
sthenelos,15.460116189189808
akamas,15.460116189189808
speared,15.460116189189808
councilors,14.054651081081644
retreat,14.054651081081644
quite,14.054651081081644
quarreling,14.054651081081644
says,14.054651081081644
pell,14.054651081081644
pleased,14.054651081081644
hippolokhos,14.054651081081644
tlepolemos,14.054651081081644
rescue,14.054651081081644
talthybios,14.054651081081644
attacked,14.054651081081644
eumelos,14.054651081081644
quarter,14.054651081081644
biê,14.054651081081644
mell,14.054651081081644
adrastos,14.054651081081644
ruler,14.054651081081644
servants,14.054651081081644
counselors,14.054651081081644
displeasure,12.649185972973479
heeded,12.649185972973479
means,12.649185972973479
peisandros,12.649185972973479
hitting,12.649185972973479
hurrying,12.649185972973479
revenge,12.649185972973479
rue,12.649185972973479
befallen,12.649185972973479
sees,12.649185972973479
sincerity,12.649185972973479
frightened,12.649185972973479
tried,12.649185972973479
encircling,12.649185972973479
outcome,12.649185972973479
hecuba,11.243720864865315
euphorbos,11.243720864865315
routed,11.243720864865315
aktor,11.243720864865315
runner,11.243720864865315
derangement,11.243720864865315
quarters,11.243720864865315
outer,11.243720864865315
workmanship,11.243720864865315
pedasos,11.243720864865315
melanippos,11.243720864865315
boreas,11.243720864865315
advise,11.243720864865315
pandaros,11.243720864865315
honorable,11.243720864865315
anew,9.838255756757151
hyrtakos,9.838255756757151
amphimakhos,9.838255756757151
marry,9.838255756757151
heights,9.838255756757151
sends,9.838255756757151
antiphos,9.838255756757151
exhort,9.838255756757151
wanted,9.838255756757151
awarded,9.838255756757151
luck,9.838255756757151
polypoites,9.838255756757151
bitterness,9.838255756757151
news,9.838255756757151
mekisteus,9.838255756757151
counselor,9.838255756757151
liking,9.838255756757151
protesilaos,9.838255756757151
showered,9.838255756757151
shirts,9.838255756757151
danger,9.838255756757151
metal,9.838255756757151
asklepios,9.838255756757151
wielding,9.838255756757151
nostos,9.838255756757151
attacking,9.838255756757151
treated,9.838255756757151
rate,9.838255756757151
chromios,9.838255756757151
soldiers,9.838255756757151
erewhile,9.838255756757151
responsible,9.838255756757151
simoeis,9.838255756757151
protected,9.838255756757151
scheming,9.838255756757151
kapaneus,9.838255756757151
khoros,9.838255756757151
hippothoos,9.838255756757151
livelong,9.838255756757151
hurried,9.838255756757151
kalkhas,9.838255756757151
presents,9.838255756757151
instructions,8.432790648648986
embraces,8.432790648648986
suit,8.432790648648986
begot,8.432790648648986
euryalos,8.432790648648986
mantis,8.432790648648986
skillful,8.432790648648986
firmament,8.432790648648986
mansions,8.432790648648986
enamored,8.432790648648986
sokos,8.432790648648986
shamed,8.432790648648986
angrily,8.432790648648986
kinds,8.432790648648986
creature,8.432790648648986
deukalion,8.432790648648986
cows,8.432790648648986
esquire,8.432790648648986
bloodstained,8.432790648648986
really,8.432790648648986
courtyard,8.432790648648986
boot,8.432790648648986
dishonored,8.432790648648986
dishonor,8.432790648648986
sêmata,8.432790648648986
swoops,8.432790648648986
alkimedon,8.432790648648986
mercy,8.432790648648986
disaster,8.432790648648986
insult,8.432790648648986
prisoner,8.432790648648986
fond,8.432790648648986
perkote,8.432790648648986
excel,8.432790648648986
labors,8.432790648648986
hovered,8.432790648648986
remiss,8.432790648648986
aitios,8.432790648648986
upwards,8.432790648648986
victorious,8.432790648648986
daunted,8.432790648648986
glared,8.432790648648986
scatheless,8.432790648648986
savor,8.432790648648986
peirithoos,8.432790648648986
exhorting,8.432790648648986
venture,8.432790648648986
dues,8.432790648648986
pergamos,8.432790648648986
scared,8.432790648648986
brawny,8.432790648648986
leathern,7.027325540540822
deipyros,7.027325540540822
punish,7.027325540540822
inspired,7.027325540540822
struggles,7.027325540540822
lyrnessos,7.027325540540822
direction,7.027325540540822
vault,7.027325540540822
epeios,7.027325540540822
guests,7.027325540540822
cadmeans,7.027325540540822
written,7.027325540540822
meeting,7.027325540540822
yellow,7.027325540540822
homecoming,7.027325540540822
displeased,7.027325540540822
lazuli,7.027325540540822
victor,7.027325540540822
happen,7.027325540540822
axios,7.027325540540822
hacked,7.027325540540822
leaped,7.027325540540822
antimakhos,7.027325540540822
breaks,7.027325540540822
satisfaction,7.027325540540822
suppers,7.027325540540822
fastens,7.027325540540822
menacingly,7.027325540540822
runs,7.027325540540822
proceed,7.027325540540822
tug,7.027325540540822
tasseled,7.027325540540822
klytios,7.027325540540822
endurance,7.027325540540822
payment,7.027325540540822
areithoos,7.027325540540822
eaten,7.027325540540822
prevent,7.027325540540822
treat,7.027325540540822
nemesis,7.027325540540822
lykomedes,7.027325540540822
highways,7.027325540540822
believe,7.027325540540822
wherever,7.027325540540822
sits,7.027325540540822
lustily,7.027325540540822
thoon,7.027325540540822
desperately,7.027325540540822
wisely,7.027325540540822
thankful,7.027325540540822
flare,7.027325540540822
lapis,7.027325540540822
chryseis,7.027325540540822
mansion,7.027325540540822
population,7.027325540540822
unweariable,7.027325540540822
servant,7.027325540540822
darter,7.027325540540822
bedrabbled,7.027325540540822
races,7.027325540540822
plunder,7.027325540540822
lampos,7.027325540540822
alpheus,7.027325540540822
orsilokhos,7.027325540540822
askalaphos,7.027325540540822
leitos,7.027325540540822
mêtis,7.027325540540822
cyprian,7.027325540540822
polydoros,7.027325540540822
spoiled,7.027325540540822
scare,7.027325540540822
sacking,7.027325540540822
swallow,7.027325540540822
august,5.6218604324326575
lured,5.6218604324326575
forbidden,5.6218604324326575
noon,5.6218604324326575
simoeisios,5.6218604324326575
admetos,5.6218604324326575
building,5.6218604324326575
acropolis,5.6218604324326575
yearned,5.6218604324326575
strains,5.6218604324326575
waster,5.6218604324326575
counseled,5.6218604324326575
echios,5.6218604324326575
committed,5.6218604324326575
athloi,5.6218604324326575
worked,5.6218604324326575
sadly,5.6218604324326575
islands,5.6218604324326575
slacken,5.6218604324326575
wields,5.6218604324326575
homestead,5.6218604324326575
enemies,5.6218604324326575
themistes,5.6218604324326575
carcass,5.6218604324326575
sick,5.6218604324326575
hiketaon,5.6218604324326575
notice,5.6218604324326575
imbrios,5.6218604324326575
contumely,5.6218604324326575
disabled,5.6218604324326575
wants,5.6218604324326575
sallies,5.6218604324326575
finding,5.6218604324326575
shines,5.6218604324326575
ordering,5.6218604324326575
caressed,5.6218604324326575
enshrouded,5.6218604324326575
loveliest,5.6218604324326575
wicked,5.6218604324326575
stockyard,5.6218604324326575
lit,5.6218604324326575
stays,5.6218604324326575
stomach,5.6218604324326575
attendant,5.6218604324326575
fearing,5.6218604324326575
fearfully,5.6218604324326575
envoy,5.6218604324326575
paieon,5.6218604324326575
faster,5.6218604324326575
reasonable,5.6218604324326575
phylake,5.6218604324326575
plumed,5.6218604324326575
zephyros,5.6218604324326575
psukhai,5.6218604324326575
phorkys,5.6218604324326575
favored,5.6218604324326575
andraimon,5.6218604324326575
public,5.6218604324326575
equipped,5.6218604324326575
sometimes,5.6218604324326575
embroidered,5.6218604324326575
pull,5.6218604324326575
restore,5.6218604324326575
deals,5.6218604324326575
reigned,5.6218604324326575
reign,5.6218604324326575
chiron,5.6218604324326575
hôra,5.6218604324326575
crew,5.6218604324326575
carrying,5.6218604324326575
fails,5.6218604324326575
drop,5.6218604324326575
selleis,5.6218604324326575
bravely,5.6218604324326575
pure,5.6218604324326575
spercheios,5.6218604324326575
bouprasion,5.6218604324326575
rescued,5.6218604324326575
bedizened,5.6218604324326575
thirsting,5.6218604324326575
scowled,5.6218604324326575
useful,5.6218604324326575
especially,5.6218604324326575
alkathoos,5.6218604324326575
freely,5.6218604324326575
reaches,5.6218604324326575
valued,5.6218604324326575
powerful,5.6218604324326575
speeches,5.6218604324326575
appeased,5.6218604324326575
surpassing,5.6218604324326575
implacable,5.6218604324326575
radiant,5.6218604324326575
bloom,5.6218604324326575
meant,5.6218604324326575
badly,5.6218604324326575
hoofs,5.6218604324326575
regards,5.6218604324326575
gainsaid,5.6218604324326575
vixen,5.6218604324326575
draws,5.6218604324326575
aretos,5.6218604324326575
aesepos,5.6218604324326575
kharites,5.6218604324326575
advice,5.6218604324326575
pitiable,5.6218604324326575
dinner,5.6218604324326575
quoit,5.6218604324326575
glade,5.6218604324326575
hurry,5.6218604324326575
duty,5.6218604324326575
inflict,5.6218604324326575
ephyra,5.6218604324326575
err,5.6218604324326575
laodike,5.6218604324326575
enjoy,5.6218604324326575
matrons,5.6218604324326575
boiling,5.6218604324326575
happened,5.6218604324326575
vessel,5.6218604324326575
kerdos,5.6218604324326575
lays,5.6218604324326575
drags,4.216395324324493
thousands,4.216395324324493
befriend,4.216395324324493
dismissed,4.216395324324493
thickly,4.216395324324493
discomfited,4.216395324324493
read,4.216395324324493
herb,4.216395324324493
beings,4.216395324324493
remind,4.216395324324493
steeped,4.216395324324493
fixing,4.216395324324493
beautifully,4.216395324324493
captives,4.216395324324493
hatched,4.216395324324493
mire,4.216395324324493
thin,4.216395324324493
befriends,4.216395324324493
dismounted,4.216395324324493
overhead,4.216395324324493
starting,4.216395324324493
begins,4.216395324324493
dress,4.216395324324493
reaching,4.216395324324493
succor,4.216395324324493
sorrowful,4.216395324324493
sorrowfully,4.216395324324493
dived,4.216395324324493
oinomaos,4.216395324324493
disquieted,4.216395324324493
choicest,4.216395324324493
egged,4.216395324324493
champing,4.216395324324493
portentous,4.216395324324493
fondly,4.216395324324493
surprise,4.216395324324493
refuge,4.216395324324493
charms,4.216395324324493
channels,4.216395324324493
dyed,4.216395324324493
remains,4.216395324324493
foretell,4.216395324324493
onslaught,4.216395324324493
helike,4.216395324324493
neighbor,4.216395324324493
humor,4.216395324324493
human,4.216395324324493
bowstring,4.216395324324493
henceforward,4.216395324324493
drives,4.216395324324493
polyidos,4.216395324324493
floored,4.216395324324493
echeklos,4.216395324324493
reigns,4.216395324324493
nerve,4.216395324324493
succeed,4.216395324324493
hardships,4.216395324324493
heaping,4.216395324324493
nearly,4.216395324324493
brag,4.216395324324493
moulios,4.216395324324493
haven,4.216395324324493
nobody,4.216395324324493
color,4.216395324324493
imploring,4.216395324324493
file,4.216395324324493
buffet,4.216395324324493
impregnable,4.216395324324493
betides,4.216395324324493
comfortable,4.216395324324493
incensed,4.216395324324493
bellow,4.216395324324493
idiot,4.216395324324493
stichios,4.216395324324493
celebrate,4.216395324324493
flashes,4.216395324324493
requite,4.216395324324493
podarkes,4.216395324324493
doughty,4.216395324324493
muttered,4.216395324324493
downwards,4.216395324324493
builder,4.216395324324493
swarm,4.216395324324493
spouse,4.216395324324493
odios,4.216395324324493
carries,4.216395324324493
stolen,4.216395324324493
orkhomenos,4.216395324324493
bide,4.216395324324493
mold,4.216395324324493
slinks,4.216395324324493
report,4.216395324324493
bespangled,4.216395324324493
monument,4.216395324324493
motion,4.216395324324493
plakos,4.216395324324493
ponoi,4.216395324324493
questions,4.216395324324493
prestigious,4.216395324324493
event,4.216395324324493
eurytos,4.216395324324493
visor,4.216395324324493
quietly,4.216395324324493
sheen,4.216395324324493
gnawing,4.216395324324493
decides,4.216395324324493
courtesy,4.216395324324493
actual,4.216395324324493
schedios,4.216395324324493
prepared,4.216395324324493
kingdom,4.216395324324493
greatness,4.216395324324493
khalkis,4.216395324324493
gargaros,4.216395324324493
fares,4.216395324324493
lately,4.216395324324493
trick,4.216395324324493
hack,4.216395324324493
achieved,4.216395324324493
lookout,4.216395324324493
prophesyings,4.216395324324493
troops,4.216395324324493
peneus,4.216395324324493
